arm,cat,lambda,E0,E_bg,R2,n_anomaly_imgs,n_bins
baseline,capsule,221.10594727893493,0.12342693315370616,0.4507199549541357,0.9995099598701195,109,50
baseline,screw,499.99988332368076,0.232836617764888,0.35012662587945775,0.9987275754975251,119,50
halo,capsule,77.3953801229843,0.09640146231801494,0.5056160435608151,0.9991785109503035,109,50
halo,screw,112.64189745819499,0.09658965688652328,0.5024431235804852,0.9997272959808013,119,50
