cat,lambda_baseline,lambda_halo,d_lambda,dPF1,R2_baseline,R2_halo
capsule,221.10594727893493,77.3953801229843,-143.71056715595063,0.11477983999389174,0.9995099598701195,0.9991785109503035
screw,499.99988332368076,112.64189745819499,-387.3579858654858,0.08334673853593594,0.9987275754975251,0.9997272959808013
